VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD01,121.0,CD01-C004-C047-C002-C063-C081-C082-C012-C020-C074-CD01,9,22-12-15-12-12-12-12-12-12,25.447,50.89,11850.92
V002,CD02,0,CD02-CD02,0,,0,0,0
V003,CD03,0,CD03-CD03,0,,0,0,0
V004,CD04,9.0,CD04-C007-CD04,1,9,0.666,1.33,310.01
V005,CD05,0,CD05-CD05,0,,0,0,0
V006,CD06,100.0,CD06-C030-C085-C028-C048-C016-C003-C017-C055-CD06,8,12-12-12-12-12-16-12-12,14.591,29.18,6795.25
V007,CD07,48.0,CD07-C056-C059-C023-C015-CD07,4,12-12-12-12,8.393,16.79,3908.81
V008,CD08,22.0,CD08-C061-C087-CD08,2,12-10,27.395,54.79,12758.32
V009,CD09,0,CD09-CD09,0,,0,0,0
V010,CD10,95.0,CD10-C027-C080-C089-C086-C052-C053-C083-CD10,7,12-5-23-19-12-12-12,14.076,28.15,6555.25
V011,CD11,36.0,CD11-C038-C062-C044-CD11,3,12-12-12,5.104,10.21,2377.04
V012,CD12,12.0,CD12-C034-CD12,1,12,9.043,18.09,4211.51
V013,CD01,75.0,CD01-C021-C029-C072-C041-C066-C058-CD01,6,15-12-12-12-12-12,26.108,52.22,12158.85
V014,CD02,0,CD02-CD02,0,,0,0,0
V015,CD03,48.0,CD03-C006-C005-C031-C077-CD03,4,11-14-11-12,11.554,23.11,5381.02
V016,CD04,18.0,CD04-C067-CD04,1,18,2.244,4.49,1044.98
V017,CD05,0,CD05-CD05,0,,0,0,0
V018,CD06,0,CD06-CD06,0,,0,0,0
V019,CD07,0,CD07-CD07,0,,0,0,0
V020,CD08,0,CD08-CD08,0,,0,0,0
V021,CD09,0,CD09-CD09,0,,0,0,0
V022,CD10,12.0,CD10-C025-CD10,1,12,4.6,9.2,2142.21
V023,CD11,0,CD11-CD11,0,,0,0,0
V024,CD12,0,CD12-CD12,0,,0,0,0
V025,CD01,0,CD01-CD01,0,,0,0,0
V026,CD02,0,CD02-CD02,0,,0,0,0
V027,CD03,0,CD03-CD03,0,,0,0,0
V028,CD04,0,CD04-CD04,0,,0,0,0
V029,CD05,0,CD05-CD05,0,,0,0,0
V030,CD06,0,CD06-CD06,0,,0,0,0
V031,CD07,0,CD07-CD07,0,,0,0,0
V032,CD08,0,CD08-CD08,0,,0,0,0
V033,CD09,34.0,CD09-C049-C071-C009-CD09,3,12-12-10,8.956,17.91,4170.82
V034,CD10,0,CD10-CD10,0,,0,0,0
V035,CD11,0,CD11-CD11,0,,0,0,0
V036,CD12,68.0,CD12-C036-C008-C088-C070-C068-C079-CD12,6,12-8-12-12-12-12,13.42,26.84,6249.87
V037,CD01,0,CD01-CD01,0,,0,0,0
V038,CD02,0,CD02-CD02,0,,0,0,0
V039,CD03,0,CD03-CD03,0,,0,0,0
V040,CD04,0,CD04-CD04,0,,0,0,0
V041,CD05,132.0,CD05-C022-C037-C054-C073-C084-C039-C032-C075-C064-C019-C065-CD05,11,12-12-12-12-12-12-12-12-12-12-12,43.854,87.71,20423.41
V042,CD06,141.0,CD06-C026-C011-C001-C013-C033-C042-C076-C046-C060-C051-C018-C045-CD06,12,13-11-13-8-12-12-12-12-12-12-12-12,32.406,64.81,15091.77
V043,CD07,142.0,CD07-C024-C035-C014-C010-C090-C069-C040-C078-C057-C050-C043-CD07,11,12-12-12-25-12-12-12-12-9-12-12,22.451,44.9,10455.64
V044,CD08,0,CD08-CD08,0,,0,0,0
V045,CD09,0,CD09-CD09,0,,0,0,0
